,0,1
0,2018/09/02,0.9983264164458074
1,2018/09/03,0.9982685198900594
2,2018/09/04,0.998210393615349
3,2018/09/05,0.9981520234270751
4,2018/09/06,0.9980934001493967
5,2018/09/07,0.9980345146064725
6,2018/09/08,0.9979753576224617
7,2018/09/09,0.9979159200215231
8,2018/09/10,0.9978561926278151
9,2018/09/11,0.9977961662654975
10,2018/09/12,0.9977358317587286
11,2018/09/13,0.9976751799316673
12,2018/09/14,0.9976142016084728
13,2018/09/15,0.9975528876133037
14,2018/09/16,0.9974912287703193
15,2018/09/17,0.9974292159036777
16,2018/09/18,0.997366839837539
17,2018/09/19,0.9973040913960611
18,2018/09/20,0.9972409614034035
19,2018/09/21,0.9971774406837246
20,2018/09/22,0.9971135200611838
21,2018/09/23,0.9970491903599392
22,2018/09/24,0.9969844424041504
23,2018/09/25,0.9969192670179764
24,2018/09/26,0.9968536550255755
25,2018/09/27,0.9967875972511075
26,2018/09/28,0.9967210845187305
27,2018/09/29,0.9966541076526036
28,2018/09/30,0.9965866574768857
29,2018/10/01,0.9965187248157357
30,2018/10/02,0.9964503004933124
31,2018/10/03,0.9963813753337754
32,2018/10/04,0.9963119448891713
33,2018/10/05,0.996242023623103
34,2018/10/06,0.9961716307270616
35,2018/10/07,0.9961007853925384
36,2018/10/08,0.996029506811024
37,2018/10/09,0.9959578141740101
38,2018/10/10,0.9958857266729872
39,2018/10/11,0.9958132634994473
40,2018/10/12,0.9957404438448808
41,2018/10/13,0.9956672869007793
42,2018/10/14,0.9955938118586336
43,2018/10/15,0.9955200379099348
44,2018/10/16,0.9954459842461743
45,2018/10/17,0.9953716700588428
46,2018/10/18,0.9952971145394319
47,2018/10/19,0.9952223368794324
48,2018/10/20,0.9951473562703357
49,2018/10/21,0.9950721919036324
50,2018/10/22,0.9949968629708141
51,2018/10/23,0.994921388663372
52,2018/10/24,0.994845788172797
53,2018/10/25,0.9947700806905798
54,2018/10/26,0.9946942854082126
55,2018/10/27,0.9946184215171858
56,2018/10/28,0.9945425082089907
57,2018/10/29,0.994466564675118
58,2018/10/30,0.9943906101070593
59,2018/10/31,0.9943146636963055
60,2018/11/01,0.9942387446343481
61,2018/11/02,0.9941628721126776
62,2018/11/03,0.9940870619902623
63,2018/11/04,0.9940113167959768
64,2018/11/05,0.9939356357261714
65,2018/11/06,0.9938600179771978
66,2018/11/07,0.9937844627454068
67,2018/11/08,0.9937089692271495
68,2018/11/09,0.9936335366187772
69,2018/11/10,0.9935581641166407
70,2018/11/11,0.9934828509170915
71,2018/11/12,0.9934075962164799
72,2018/11/13,0.9933323992111579
73,2018/11/14,0.9932572590974759
74,2018/11/15,0.9931821750717851
75,2018/11/16,0.993107146330437
76,2018/11/17,0.9930321720697821
77,2018/11/18,0.9929572514861719
78,2018/11/19,0.9928823837759574
79,2018/11/20,0.9928075681354894
80,2018/11/21,0.9927328037611194
81,2018/11/22,0.992658089849198
82,2018/11/23,0.9925834255960767
83,2018/11/24,0.9925088101981067
84,2018/11/25,0.9924342428516385
85,2018/11/26,0.9923597227530236
86,2018/11/27,0.9922852490986128
87,2018/11/28,0.9922108210847574
88,2018/11/29,0.9921364379078085
89,2018/11/30,0.9920620987641169
90,2018/12/01,0.9919878028500341
91,2018/12/02,0.9919135493619109
92,2018/12/03,0.9918393374960984
93,2018/12/04,0.9917651664489476
94,2018/12/05,0.9916910354168097
95,2018/12/06,0.9916169435960359
96,2018/12/07,0.9915428901829769
97,2018/12/08,0.9914688743739846
98,2018/12/09,0.991394895365409
99,2018/12/10,0.9913209523536017
100,2018/12/11,0.9912470445349141
101,2018/12/12,0.9911731711056966
102,2018/12/13,0.9910993312623008
103,2018/12/14,0.9910255242010774
104,2018/12/15,0.9909517491183779
105,2018/12/16,0.9908780052105529
106,2018/12/17,0.9908042916739539
107,2018/12/18,0.9907306077049317
108,2018/12/19,0.9906569524998374
109,2018/12/20,0.9905833252550224
110,2018/12/21,0.9905097251668374
111,2018/12/22,0.9904361514316339
112,2018/12/23,0.9903626032457624
113,2018/12/24,0.9902890798055743
114,2018/12/25,0.9902155803074209
115,2018/12/26,0.9901421039476527
116,2018/12/27,0.9900686499226212
117,2018/12/28,0.9899952174286776
118,2018/12/29,0.9899218056621726
119,2018/12/30,0.9898484138194575
120,2018/12/31,0.9897750410968833
121,2019/01/01,0.9897016866908012
122,2019/01/02,0.9896283497975621
123,2019/01/03,0.9895550296135172
124,2019/01/04,0.9894817253350174
125,2019/01/05,0.989408436158414
126,2019/01/06,0.9893351612800582
127,2019/01/07,0.9892618998963005
128,2019/01/08,0.9891886512034925
129,2019/01/09,0.9891154143979854
130,2019/01/10,0.9890421886761298
131,2019/01/11,0.988968973234277
132,2019/01/12,0.988895767268778
133,2019/01/13,0.9888225699759841
134,2019/01/14,0.9887493805522463
135,2019/01/15,0.9886761981939154
136,2019/01/16,0.9886030220973427
137,2019/01/17,0.9885298514588793
138,2019/01/18,0.9884566854748763
139,2019/01/19,0.9883835233416847
140,2019/01/20,0.9883103642556552
141,2019/01/21,0.98823720741314
142,2019/01/22,0.9881640520104891
143,2019/01/23,0.988090897244054
144,2019/01/24,0.9880177423101857
145,2019/01/25,0.9879445864052349
146,2019/01/26,0.9878714287255534
147,2019/01/27,0.9877982684674921
148,2019/01/28,0.9877251048274018
149,2019/01/29,0.9876519370016339
150,2019/01/30,0.9875787641865388
151,2019/01/31,0.9875055855784685
152,2019/02/01,0.9874324004388545
153,2019/02/02,0.9873592082894548
154,2019/02/03,0.9872860087171071
155,2019/02/04,0.9872128013086499
